file	author	title	n_lines	n_tokens	mattr	fwr	anaphora	cv	predictability
eng_american_a_e_morris.txt	A. E. Morris	ARISE! YE SONS OF FREE-BORN SIRES!	26	198	0.8688590604026846	0.3333333333333333	0.23076923076923078	0.46365726939509094	0.5454545454545454
eng_american_a_w_kercheval.txt	A. W. Kercheval	PRAY, MAIDEN, PRAY!	24	126	0.7898701298701298	0.3492063492063492	0.16666666666666666	0.2534717368677986	0.9166666666666666
eng_american_alice_cary.txt	Alice Cary (1820-1871)	MAKE BELIEVE	18	108	0.7949152542372881	0.42592592592592593	0.16666666666666666	0.09622504486493762	0.6666666666666666
eng_american_bayard_taylor.txt	Bayard Taylor (1825-1878)	Bedouin Song	33	203	0.7292207792207792	0.45320197044334976	0.36363636363636365	0.15562136944759916	0.75
eng_american_bayard_taylor.txt	Bayard Taylor (1825-1878)	A STORY FOR A CHILD	40	249	0.7563	0.4497991967871486	0.15	0.16258861429716598	0.7647058823529411
eng_american_bayard_taylor.txt	Bayard Taylor (1825-1878)	THROUGH BALTIMORE	54	294	0.8506938775510203	0.3979591836734694	0.1111111111111111	0.33096479061687456	0.18518518518518517
eng_american_bayard_taylor.txt	Bayard Taylor (1825-1878)	LINCOLN AT GETTYSBURG	29	191	0.8625352112676057	0.4397905759162304	0.13793103448275862	0.23084196528846704	0.6428571428571429
eng_american_bayard_taylor.txt	Bayard Taylor (1825-1878)	The Song of the Camp	44	248	0.8240201005025125	0.4032258064516129	0.13636363636363635	0.22085586996176054	0.2631578947368421
eng_american_bayard_taylor.txt	Bayard Taylor (1825-1878)	THE NATIONAL ODE	300	1855	0.7983499446290143	0.415633423180593	0.12333333333333334	0.2609613168401284	0.6666666666666666
eng_american_bayard_taylor.txt	Bayard Taylor (1825-1878)	Storm Song	24	168	0.824873949579832	0.4226190476190476	0.125	0.13041013273932528	0.5
eng_american_bayard_taylor.txt	Bayard Taylor (1825-1878)	The Promissory Note	46	247	0.7441414141414141	0.4777327935222672	0.10869565217391304	0.4517136384744423	0.5263157894736842
eng_american_c_d_dasher.txt	C. D. Dasher	OLD STONEWALL	20	157	0.6940740740740741	0.45222929936305734	0.15	0.18138892822800182	0.3
eng_american_charles_fenno_hoffman.txt	Charles Fenno Hoffman (1806-1884)	MONTEREY	30	187	0.8607246376811595	0.42780748663101603	0.1	0.12206109316057034	0.6666666666666666
eng_american_charles_fenno_hoffman.txt	Charles Fenno Hoffman (1806-1884)	Sparkling and Bright	24	160	0.8163963963963964	0.46875	0.16666666666666666	0.1479019945774904	0.7
eng_american_charles_fenno_hoffman.txt	Charles Fenno Hoffman (1806-1884)	RIO BRAVO--A MEXICAN LAMENT	52	279	0.8768695652173913	0.32974910394265233	0.07692307692307693	0.1973048869594182	0.7
eng_american_dan_e_townsend.txt	Dan. E. Townsend	FREEDOM'S NEW BANNER	24	152	0.7378640776699029	0.4473684210526316	0.25	0.1262060927187558	0.6666666666666666
eng_american_e_w_cave.txt	E. W. Cave	THE FLAG OF THE SOUTHLAND  [air: I'm Afloat]	32	286	0.7708016877637132	0.4125874125874126	0.09375	0.1279930434805813	0.5625
eng_american_emily_dickinson.txt	Emily Dickinson	Parting	8	44	0.8409090909090909	0.4318181818181818	0.125	0.22268088570756162	0.75
eng_american_emily_dickinson.txt	Emily Dickinson	The Chariot	20	106	0.7684210526315789	0.4716981132075472	0.25	0.2674989977124118	0.6
eng_american_emily_dickinson.txt	Emily Dickinson	Indian Summer	18	99	0.8436	0.35353535353535354	0.16666666666666666	0.26590801173915524	0.625
eng_american_emily_dickinson.txt	Emily Dickinson	The Waking Year	16	80	0.8148387096774194	0.4125	0.1875	0.2	0.875
eng_american_emily_dickinson.txt	Emily Dickinson	Autumn	8	44	0.7954545454545454	0.38636363636363635	0.75	0.128564869306645	0.5
eng_american_fitz_greene_halleck.txt	Fitz-Greene Halleck (1790-1867)	SONG.	51	297	0.6712903225806452	0.3838383838383838	0.11764705882352941	0.2582829465192931	0.7083333333333334
eng_american_fitz_greene_halleck.txt	Fitz-Greene Halleck (1790-1867)	On the Death of Joseph Rodman Drake	24	141	0.8356521739130435	0.375886524822695	0.125	0.10203896858112169	0.6666666666666666
eng_american_francis_scott_key.txt	Francis Scott Key (1779-1843)	THE STAR-SPANGLED BANNER	32	311	0.7654198473282442	0.4694533762057878	0.15625	0.12921885078720335	0.5714285714285714
eng_american_george_henry_boker.txt	George Henry Boker	To America	14	114	0.9190769230769231	0.4298245614035088	0.07142857142857142	0.10946298121108833	0.7142857142857143
eng_american_george_henry_boker.txt	George Henry Boker	To England	30	217	0.8719047619047618	0.3456221198156682	0.06666666666666667	0.25160615105472256	0.8461538461538461
eng_american_george_henry_boker.txt	George Henry Boker	Dirge for a Soldier	32	186	0.6337226277372262	0.45698924731182794	0.25	0.2211501484000337	0.8
eng_american_george_henry_boker.txt	George Henry Boker	ON BOARD THE “CUMBERLAND.”	152	864	0.8495214723926381	0.41435185185185186	0.09868421052631579	0.20464627955480336	0.5873015873015873
