# CMUdict letter-to-sound rules, derived by Viterbi-EM alignment.
# BUILT BY quality/g2p.py --train.  Training split = 105744 CMUdict headwords; 11749 held out (fraction 0.1, seed 20260811).
# Doctrine 13: these rules come from CMUdict, so any accuracy quoted for them is on the HELD-OUT split and nowhere else.
#kind	level	key	phones	count
L	0	a		68716
L	0	b	B	5543
L	0	c		6058
L	0	d	D	10097
L	0	e		89507
L	0	f	F	2276
L	0	g	IH NG	4934
L	0	h		1263
L	0	i		57275
L	0	j	JH	217
L	0	k	K	2740
L	0	l		14181
L	0	m	M	7206
L	0	n		44212
L	0	o		29280
L	0	p	P	3974
L	0	q	K W	461
L	0	r		58216
L	0	s		34546
L	0	t	T	14969
L	0	u		3100
L	0	v	V ER	686
L	0	w	W IH	900
L	0	x	K S	693
L	0	y	L IY	2282
L	0	z	AY Z	588
L	1	bd	AE B	24
L	1	bf	F AW	4
L	1	bi	B IH	371
L	1	bm	B M	18
L	1	bn	AE B	9
L	1	bp	P IY	4
L	1	br	B R	920
L	1	bs	B S	77
L	1	c$	IH K	784
L	1	ca	K AE	778
L	1	cb	AH K	13
L	1	cd	AH K	36
L	1	ce	N S	463
L	1	cf	AH K	17
L	1	ci	S IH	228
L	1	cl	K L	397
L	1	cm	AH K	34
L	1	cn	K N	28
L	1	co	K AH	896
L	1	cr	K R	727
L	1	cs	K S	158
L	1	ct	EH K	329
L	1	cv	AH K	4
L	1	dg	R	63
L	1	dj	AH JH	20
L	1	dm	D M	76
L	1	dq	N D	6
L	1	ds	D Z	426
L	1	dv	AE D	49
L	1	fe	F EH	378
L	1	fg	AE F	6
L	1	fh	F HH	3
L	1	fi	F IH	410
L	1	fj	F Y	4
L	1	fk	EH F	4
L	1	fl	F L	320
L	1	fm	F M	17
L	1	fn	N ER	18
L	1	fo	F AO	289
L	1	fr	F R	577
L	1	fs	F S	64
L	1	ft	AE F	97
L	1	ga	G AE	335
L	1	gc	K AH	3
L	1	gd	G D	15
L	1	ge	G ER	465
L	1	gf	G F	7
L	1	gg	G	71
L	1	gh	L AY	71
L	1	gi	G IH	185
L	1	gl	G L	304
L	1	gm	G M	56
L	1	gn	G N	102
L	1	go	G OW	262
L	1	gp	AE G	6
L	1	gr	G R	947
L	1	gs	NG Z	226
L	1	gt	NG T	65
L	1	gu	G	273
L	1	gw	G	16
L	1	gy	L AH	50
L	1	gz	G	4
L	1	ha	HH AE	801
L	1	hc	AE SH	4
L	1	hd	TH	5
L	1	he	HH EH	727
L	1	hf	CH F	10
L	1	hg	TH	3
L	1	hh	IH CH	5
L	1	hi	HH IH	374
L	1	hk	EH SH	4
L	1	hl	L ER	56
L	1	hm	SH M	63
L	1	hn	N ER	67
L	1	ho	HH OW	411
L	1	hp	TH P	3
L	1	hr	IH S	59
L	1	hs	TH S	48
L	1	hu	HH AH	196
L	1	hv	TH V	3
L	1	hw	SH W	40
L	1	hy	HH AY	84
L	1	j$	JH EY	3
L	1	ja	JH AE	171
L	1	je	JH EH	185
L	1	ji	JH IY	55
L	1	jk	AY	3
L	1	jn	N ER	3
L	1	jo	JH OW	73
L	1	jt	OY	4
L	1	ju	JH AH	87
L	1	ka	K AH	358
L	1	ke	K ER	566
L	1	kf	K F	5
L	1	ki	K IY	859
L	1	kj	K Y	5
L	1	kl	K L	177
L	1	km	K M	81
L	1	kn	N AA	34
L	1	ko	K OW	270
L	1	kp	AE K	8
L	1	kr	K R	202
L	1	ks	K S	426
L	1	kv	K V	6
L	1	ky	S K	87
L	1	l$	L	1622
L	1	ld	L	539
L	1	lg	L	48
L	1	lj	L	7
L	1	lm	L M	187
L	1	ln	N ER	21
L	1	ls	L Z	375
L	1	lv	L	101
L	1	mg	G AA	5
L	1	mi	M IH	915
L	1	ms	M Z	273
L	1	mv	M V	4
L	1	on	AH N	3005
L	1	pe	P ER	679
L	1	ph	F IH	92
L	1	pi	P IH	384
L	1	pl	P L	337
L	1	pm	P M	27
L	1	pr	P R	1208
L	1	ps	P S	331
L	1	q$	AE K	8
L	1	qi	K IY	7
L	1	tc		199
L	1	th		1060
L	1	tm	T M	112
L	1	ts	T S	1193
L	1	u$	UW	77
L	1	ua	W AA	60
L	1	ub	S AH	175
L	1	ui	W IH	70
L	1	ul	AH L	496
L	1	un	AH N	1460
L	1	uo	W OW	19
L	1	up	AH	120
L	1	us	AH S	1022
L	1	uv	UW V	19
L	1	v$	AA V	55
L	1	va	V AE	485
L	1	vi	V IH	448
L	1	vl	V L	35
L	1	vn	AE V	3
L	1	vo	V OW	136
L	1	vr	V R	20
L	1	vs	V S	9
L	1	vu	V AH	13
L	1	vy	EH V	6
L	1	w$	L OW	106
L	1	wa	W AO	450
L	1	wb	N UW	19
L	1	wc	N UW	7
L	1	wd	R AW	12
L	1	we	W EH	528
L	1	wf	L AO	5
L	1	wk	HH AO	20
L	1	wl	AW L	29
L	1	wm	OW M	7
L	1	wn	AW N	168
L	1	wo	W UH	230
L	1	wr	R AY	45
L	1	ws	F S	221
L	1	wt	N UW	7
L	1	wu	W ER	14
L	1	wy	W AY	42
L	1	xa	IH G	38
L	1	xc	IH K	54
L	1	xh	IH G	20
L	1	xp	IH K	109
L	1	xt	EH K	88
L	1	xu	IH G	12
L	1	xy	AA K	9
L	1	ya	Y AA	119
L	1	yb	EY B	14
L	1	yc	AY K	23
L	1	yd	D R	29
L	1	ye	AY ER	82
L	1	yf	IY	5
L	1	yg	IY	7
L	1	yi	F AY	28
L	1	yk	IH	20
L	1	yl	AY L	30
L	1	ym	S IH	45
L	1	yn	IH N	113
L	1	yo	Y OW	84
L	1	yp	AY	29
L	1	yr	AY R	29
L	1	ys	EY Z	96
L	1	yt	AY	18
L	1	yu	Y	28
L	1	yw	AY	9
L	1	yx	K S	4
L	1	yz	AH L	17
L	1	z$	S	266
L	1	za	Z AH	159
L	1	zb	T S	7
L	1	zc	SH IH	3
L	1	zd	AA Z	4
L	1	zg	S	4
L	1	zh	S HH	4
L	1	zk	T S	11
L	1	zl	AH L	21
L	1	zm	S M	26
L	1	zn	N ER	9
L	1	zo	Z OW	96
L	1	zr	EH Z	3
L	1	zs	ZH AA	3
L	1	zt	AE Z	4
L	1	zu	Z UW	33
L	1	zw	Z	10
L	1	zy	Z	13
L	1	zz	AA T	32
L	2	^be	B EH	459
L	2	^cb	S IY	3
L	2	^cc	S IY	4
L	2	^cd	S IY	6
L	2	^ce	S EH	154
L	2	^cs	S IY	3
L	2	^cu	K	153
L	2	^di	D IH	610
L	2	^dn	D IY	3
L	2	^dz	JH IY	5
L	2	^ge	JH EH	193
L	2	^gh	G	29
L	2	^gn	N AE	7
L	2	^gy	JH IH	18
L	2	^hl	HH L	3
L	2	^hm		3
L	2	^hr	HH R	6
L	2	^ji	JH IH	41
L	2	^jo	JH AA	69
L	2	^ka	K AE	191
L	2	^ke	K EH	230
L	2	^ki	K IH	306
L	2	^km	K AH	3
L	2	^ko	K	170
L	2	^ky	K	27
L	2	^la	L	490
L	2	^le	L	371
L	2	^li	L	298
L	2	^lo	L	303
L	2	^ly	L	44
L	2	^me	M EH	498
L	2	^mr	M R	6
L	2	^oi	OY	6
L	2	^oj	OW	5
L	2	^on	AA N	30
L	2	^or	AO R	236
L	2	^os	AA S	53
L	2	^ox	AA K	19
L	2	^pe	P EH	420
L	2	^pf	F	11
L	2	^pl	P	227
L	2	^pn	N UW	3
L	2	^ps	S AY	34
L	2	^pt		3
L	2	^sr	S R	7
L	2	^ts	T	13
L	2	^ub	Y UW	3
L	2	^ud	UW	5
L	2	^ue	UH	3
L	2	^ug	Y UW	4
L	2	^uk	Y UW	5
L	2	^um	AH	22
L	2	^ur	Y ER	24
L	2	^us	Y UW	41
L	2	^ut	Y UW	21
L	2	^ve	V EH	233
L	2	^wr	R EH	22
L	2	^xe	Z EH	5
L	2	^xu	Z UW	4
L	2	^xy	Z AY	7
L	2	^ye	Y EH	62
L	2	^yi	Y IH	10
L	2	^za	Z AA	77
L	2	^ze	Z EH	74
L	2	^zh	ZH	3
L	2	^zi	Z IH	68
L	2	^zl	Z L	5
L	2	ab$	AE B	31
L	2	aba	AH B	41
L	2	abb	AE	27
L	2	abc	AE B	3
L	2	abe	B ER	34
L	2	abh	AH B	4
L	2	abk	AE B	3
L	2	abl	AH B	327
L	2	abo	AH B	41
L	2	abs	AE B	40
L	2	abu	AH B	23
L	2	ac$	AE K	68
L	2	aca	K AH	25
L	2	acc	AE K	61
L	2	ace	EY S	104
L	2	aci	AH S	34
L	2	acl	AH K	13
L	2	acm	K M	3
L	2	aco	K OW	27
L	2	act	AE K	196
L	2	acu	AE K	21
L	2	acy	AH S	10
L	2	ada	D AH	65
L	2	adg	AE	13
L	2	adk	AE D	5
L	2	adm	AE D	31
L	2	adn	AE D	6
L	2	adr	D R	20
L	2	adt	AE	9
L	2	adu	AH D	14
L	2	afa	F AA	7
L	2	afe	F ER	11
L	2	aff	AH F	42
L	2	afi	F IY	10
L	2	afl	AH F	4
L	2	afn	F N	3
L	2	afo	AH F	9
L	2	afr	AE F	18
L	2	afu	F W	3
L	2	ag$	AE G	42
L	2	aga	G AH	49
L	2	agd	AE G	6
L	2	age	IH JH	154
L	2	agf	AE G	4
L	2	agg	AE	43
L	2	agh	AH G	6
L	2	agi	AE JH	30
L	2	agm	AE G	13
L	2	agn	AE G	42
L	2	ago	AE G	27
L	2	agr	AH G	26
L	2	ags	G Z	18
L	2	agt	R AE	3
L	2	agu	AA G	18
L	2	ah$	L AH	25
L	2	aha	AH HH	26
L	2	ahe	HH ER	6
L	2	ahi	HH IY	8
L	2	ahl	AA L	55
L	2	ahm	AA M	9
L	2	ahn	AE N	10
L	2	aho	AH HH	9
L	2	ahr	AA R	17
L	2	ahs	AH Z	4
L	2	ahu	AH HH	6
L	2	aja	AA Y	5
L	2	aje	AY EH	4
L	2	ajo	JH ER	4
L	2	ak$	AE K	91
L	2	aka	K AA	31
L	2	ake	EY K	119
L	2	akh	AE K	3
L	2	aki	EY K	40
L	2	akk	AE K	3
L	2	akl	K	4
L	2	akr	AE K	5
L	2	akt	AE K	3
L	2	aku	K UW	10
L	2	al$	AH L	661
L	2	ala	L AH	117
L	2	alb	AE L	42
L	2	alc	L	38
L	2	ale	L	129
L	2	alg	AE L	31
L	2	ali	AH L	261
L	2	alm		42
L	2	aln	L	6
L	2	alo	L	45
L	2	alp	AE L	23
L	2	alr	L R	6
L	2	alt	L	73
L	2	alu	L	27
L	2	alw	AE L	5
L	2	alz	L	10
L	2	ama	M AH	79
L	2	amb	AE M	98
L	2	amc	AE M	6
L	2	amd	AE M	5
L	2	ame	AH M	81
L	2	amf	AE M	3
L	2	amh	AE M	3
L	2	ami	M IY	43
L	2	amk	M K	3
L	2	aml	AE M	10
L	2	amn	AE M	12
L	2	amo	AH M	35
L	2	amp	AE M	114
L	2	amr	AE M	9
L	2	amt	AE M	4
L	2	amu	AH M	11
L	2	amw	IY M	3
L	2	amy	AE M	5
L	2	aoi	IH S	3
L	2	aon	OW N	3
L	2	aor	R IY	3
L	2	ap$	AE P	33
L	2	apa	P AA	16
L	2	apd	AE P	3
L	2	ape	EY P	38
L	2	apf	AE P	3
L	2	aph	R AE	42
L	2	apo	AH P	32
L	2	app	AH P	96
L	2	apt	AE P	26
L	2	apu	AH P	8
L	2	arx	AA R	4
L	2	as$	AH Z	212
L	2	ati	EY SH	649
L	2	atr	T R	56
L	2	au$	OW	46
L	2	aub		11
L	2	aud	AO D	30
L	2	aue	AW ER	47
L	2	aul	AO L	77
L	2	aum	AW	32
L	2	aun	AO N	63
L	2	aup		12
L	2	aur	AO R	36
L	2	aus	AW S	43
L	2	aut	AO	51
