author	lang	born	died	tradition	pd_route	pd_expired	status	corpus_path	note
Robert Burns	eng	1759	1796	scots	b (verified author death year)	1866	SOURCED	corpus/song/eng_celtic_robert_burns.txt	
Isaac Watts	eng	1674	1748	hymn	b (verified author death year)	1818	SOURCED	/home/user/CodexMusica/lyric-harness/corpus/song/eng_hymn_watts.txt	
Charles Wesley	eng	1707	1788	hymn	b (verified author death year)	1858	SOURCED	/home/user/CodexMusica/lyric-harness/corpus/song/eng_hymn_charles_wesley.txt	
John Newton	eng	1725	1807	hymn	b (verified author death year)	1877	SOURCED	/home/user/CodexMusica/lyric-harness/corpus/song/eng_hymn_newton.txt	
William Cowper	eng	1731	1800	hymn	b (verified author death year)	1870	SOURCED	/home/user/CodexMusica/lyric-harness/corpus/song/eng_hymn_cowper.txt	
Augustus Toplady	eng	1740	1778	hymn	b (verified author death year)	1848	SOURCED	/home/user/CodexMusica/lyric-harness/corpus/song/eng_hymn_toplady.txt	
John Gay	eng	1685	1732	stage	b (verified author death year)	1802	SOURCED	corpus/song/eng_hall_john_gay.txt	
Charles Dibdin	eng	1745	1814	stage	b (verified author death year)	1884	NOT_FOUND		
Sarah Josepha Hale	eng	1788	1879	american	b (verified author death year)	1949	SOURCED	corpus/song/eng_american_sarah_josepha_hale.txt	
Jane Taylor	eng	1783	1824	nursery	b (verified author death year)	1894	SOURCED	corpus/song/eng_american_jane_taylor.txt	
Ann Taylor	eng	1782	1866	nursery	b (verified author death year)	1936	SOURCED	corpus/song/eng_american_ann_taylor.txt	
Thomas Moore	eng	1779	1852	irish	b (verified author death year)	1922	SOURCED	corpus/song/eng_celtic_thomas_moore.txt	
Carolina Oliphant, Lady Nairne	eng	1766	1845	scots	b (verified author death year)	1915	SOURCED	corpus/song/eng_celtic_carolina_oliphant_lady_nairne.txt	
Reginald Heber	eng	1783	1826	hymn	b (verified author death year)	1896	SOURCED	/home/user/CodexMusica/lyric-harness/corpus/song/eng_hymn_heber.txt	
Thomas Haynes Bayly	eng	1797	1839	drawing_room	b (verified author death year)	1909	SOURCED	/home/user/CodexMusica/lyric-harness/corpus/song/eng_parlour_thomas_haynes_bayly.txt	
Samuel Lover	eng	1797	1868	irish	b (verified author death year)	1938	SOURCED	corpus/song/eng_celtic_samuel_lover.txt	
Henry Francis Lyte	eng	1793	1847	hymn	b (verified author death year)	1917	SOURCED	/home/user/CodexMusica/lyric-harness/corpus/song/eng_hymn_lyte.txt	
James Montgomery	eng	1771	1854	hymn	b (verified author death year)	1924	SOURCED	/home/user/CodexMusica/lyric-harness/corpus/song/eng_hymn_montgomery.txt	
Sarah Flower Adams	eng	1805	1848	hymn	b (verified author death year)	1918	SOURCED	/home/user/CodexMusica/lyric-harness/corpus/song/eng_hymn_sarah_flower_adams.txt	
Edmund Sears	eng	1810	1876	hymn	b (verified author death year)	1946	SOURCED	/home/user/CodexMusica/lyric-harness/corpus/song/eng_hymn_sears.txt	
Cecil Frances Alexander	eng	1818	1895	hymn	b (verified author death year)	1965	SOURCED	/home/user/CodexMusica/lyric-harness/corpus/song/eng_hymn_cf_alexander.txt	
Joseph Scriven	eng	1819	1886	hymn	b (verified author death year)	1956	NOT_FOUND		
Horatio Spafford	eng	1828	1888	hymn	b (verified author death year)	1958	SOURCED	/home/user/CodexMusica/lyric-harness/corpus/song/eng_hymn_spafford.txt	
Philip Bliss	eng	1838	1876	hymn	b (verified author death year)	1946	SOURCED	/home/user/CodexMusica/lyric-harness/corpus/song/eng_hymn_bliss.txt	
Frances Ridley Havergal	eng	1836	1879	hymn	b (verified author death year)	1949	SOURCED	/home/user/CodexMusica/lyric-harness/corpus/song/eng_hymn_havergal.txt	
Josiah Gilbert Holland	eng	1819	1881	american	b (verified author death year)	1951	SOURCED	corpus/song/eng_american_josiah_gilbert_holland.txt	
Phillips Brooks	eng	1835	1893	hymn	b (verified author death year)	1963	NOT_FOUND		
Ray Palmer	eng	1808	1887	hymn	b (verified author death year)	1957	SOURCED	/home/user/CodexMusica/lyric-harness/corpus/song/eng_hymn_ray_palmer.txt	
John Greenleaf Whittier	eng	1807	1892	american	b (verified author death year)	1962	SOURCED	corpus/song/eng_american_john_greenleaf_whittier.txt	
Oliver Wendell Holmes Sr.	eng	1809	1894	american	b (verified author death year)	1964	SOURCED	corpus/song/eng_american_oliver_wendell_holmes_sr.txt	
