# OpenSubtitles 2018 English word frequencies, 50,000 types, rank order.
#
# SOURCE  hermitdave/FrequencyWords content/2018/en/en_50k.txt
#         fetched 2026-08-11, md5 370a7a55f79605b25638e3e262d5f920 of the upstream file
# LICENCE MIT (LICENSE at the repo root, "Copyright (c) 2016 Hermit Dave")
#         over OpenSubtitles 2018 as distributed by OPUS.
#
# WHY IT IS HERE. It is the REGISTER replacement for wordfreq20k.txt, which is
# a 2006 web crawl (see that file's row in data/sources.tsv). Spoken English
# inverts the web list's pathology: `moon` outranks `yahoo` by 13.7x here,
# where the web list has `yahoo` outranking `moon` by 5.6x, and `weep`, `wept`
# and `mourn` exist at all -- the web list has none of the three, which in
# `lyric_harness.CandidateEngine` means not merely unranked but UNOFFERABLE.
#
# WHAT IT DOES NOT FIX. It is still a GLOBAL UNIGRAM RANK. Measured
# leave-one-author-out against what 69 held-out authors actually reached for,
# it blocks 21.4% of realised rhyme partners against the web list's 16.9% --
# real, and small beside the 63.2% the line-final CONDITIONAL reaches. The
# head of any unigram list is function words, and inside a rhyme field that is
# where the exclusion gets spent. quality/RESULTS_SONG_FREQUENCY.md.
#
# TOKENISATION. Upstream splits clitics, so `'s` and `'t` are types (ranks 6
# and 10). They are kept as they came rather than silently merged: a count is
# a coordinate of its tokenisation (doctrine 58/91) and the next person to
# measure this should see the same file the number came from.
#
# INDEPENDENT of every corpus in this repo -- contemporary film and television
# subtitles are not verse, are not sung, and are not any cell's labelled pool.
word	count	rank
you	28787591	0
i	27086011	1
the	22761659	2
to	17099834	3
a	14484562	4
's	14291013	5
it	13631703	6
and	10572938	7
that	10203742	8
't	9628970	9
of	8915110	10
is	7400675	11
in	7337058	12
what	6900164	13
we	6755687	14
me	6444985	15
this	5739788	16
he	5516364	17
for	5174060	18
my	4938948	19
on	4821861	20
have	4764010	21
your	4610945	22
do	4419883	23
was	4401531	24
'm	4386306	25
no	4374975	26
not	4262273	27
be	4210868	28
are	4203821	29
don	4158644	30
're	4059719	31
know	3892394	32
can	3826118	33
with	3806977	34
but	3631462	35
all	3544700	36
so	3434152	37
just	3334392	38
there	3148528	39
here	3138591	40
they	3060204	41
like	2983027	42
'll	2913428	43
get	2883193	44
she	2778359	45
go	2738504	46
if	2630800	47
right	2576821	48
out	2510010	49
about	2487348	50
up	2459855	51
at	2431398	52
him	2431059	53
now	2298830	54
oh	2298308	55
one	2263956	56
come	2203919	57
well	2159909	58
her	2154982	59
how	2140365	60
yeah	2000641	61
've	1991871	62
will	1969807	63
got	1968389	64
want	1950845	65
think	1839473	66
as	1792220	67
see	1781493	68
did	1742764	69
good	1741730	70
who	1734491	71
why	1722797	72
from	1709582	73
let	1705262	74
his	1666361	75
yes	1634050	76
when	1531731	77
going	1520767	78
time	1453708	79
an	1449181	80
okay	1428884	81
back	1405024	82
look	1348467	83
us	1346903	84
would	1340070	85
them	1327509	86
where	1322226	87
were	1315964	88
take	1312232	89
then	1275502	90
had	1274537	91
or	1267646	92
been	1265150	93
our	1191941	94
gonna	1188190	95
tell	1176290	96
really	1174710	97
man	1173588	98
some	1166914	99
say	1153915	100
hey	1149292	101
could	1111837	102
'd	1109205	103
didn	1100643	104
by	1090424	105
need	1040131	106
something	1038638	107
has	1035310	108
too	1022558	109
more	1010390	110
way	1000182	111
down	978966	112
make	963885	113
very	945653	114
never	930831	115
only	887363	116
people	885915	117
over	880841	118
because	880112	119
little	869522	120
please	842120	121
love	830324	122
should	823711	123
mean	821275	124
said	818878	125
sorry	818019	126
give	811919	127
off	799351	128
am	785830	129
thank	773577	130
