char	initial	openness	division	rhyme	tone
㐁	透			添	去
㐁	透			覃	去
㐄	溪	合	二	麻	上
㐄	溪	合	二	麻	去
㐆	影			欣	上
㐆	影	開		微	平
㐭	來			侵	上
㐱	章	開		眞	上
㐲	定	開		泰	去
㐸	溪			嚴	去
㑁	知	合		眞	入
㑃	影			肴	去
㑉	心		三	東	入
㑗	書	開		眞	平
㑙	端			添	入
㑛	心		一	東	入
㑛	書			鍾	入
㑜	以	開		祭	去
㑜	徹	開		祭	去
㑞	以	開		蒸	去
㑟	幫		二	庚	上
㑥	以	開		支	去
㑦	來	開		齊	去
㑮	匣			魂	平
㑮	疑			魂	平
㑳	孃			咸	入
㑳	崇			尤	去
㑳	莊			虞	平
㑵	從	開		眞	入
㑻	明			山	入
㑿	崇			肴	上
㒄	日	開		仙	上
㒄	書	開		仙	上
㒅	溪	開		齊	上
㒇	明			虞	上
㒈	曉			銜	去
㒊	生			侵	入
㒋	心	開		支	平
㒌	羣合A			清	平
㒓	透	開		寒	入
㒔	定		一	東	入
㒔	常			鍾	入
㒚	影			欣	去
㒚	影			魂	上
㒝	明			元	入
㒝	明			先	入
㒟	泥			蕭	上
㒠	匣	開		皆	去
㒥	滂		三	東	平
㒰	從	合		仙	平
㒳	來	開		陽	上
㒴	見			魂	入
㒸	邪	合		脂	去
㒹	端	開		先	平
㒼	明			寒	平
㒽	溪合B			仙	平
㒾	以	開		支	去
㒾	書	開		支	去
㓃	知	開	二	麻	去
㓃	端			模	去
㓄	知			侵	去
㓊	定		一	東	去
㓖	幫A			眞	入
㓚	見		一	東	平
㓝	匣	開		青	平
㓞	溪	開		山	入
㓠	端			添	上
㓢	來	開		唐	入
㓣	溪			咸	入
㓤	溪	開		山	入
㓱	定			侯	平
㓳	端	開		齊	平
㓷	疑開B			祭	去
㓹	清	合		祭	去
㓺	見	開		元	平
㓻	見	開		唐	平
㓼	初			之	上
㓼	初	開		眞	入
㓽	崇		三	東	去
㓽	崇		三	東	平
㔄	心			鍾	入
㔆	從			覃	上
㔊	章	開		仙	上
㔋	來			談	去
㔋	匣			銜	上
㔋	見			銜	去
㔋	見			銜	平
㔌	從			侯	去
㔌	從			侯	平
㔍	初	合		仙	入
㔍	初	合		刪	入
㔎	心	開		仙	入
㔎	疑開B			眞	入
㔏	來	開		青	入
㔒	匣	合		齊	平
㔓	見	開		元	上
㔗	並			微	去
㔙	幫		二	庚	平
㔝	來	開		陽	上
㔞	溪	合		皆	平
㔠	曉	開		刪	入
㔡	幫			先	入
㔢	精	合		仙	入
㔣	來			灰	去
㔣	來			灰	平
㔥	並			佳	上
㔩	影			覃	入
㔪	來			模	上
