# 欽定詞譜 (1715), one row per 格 (metrical pattern) of one 詞牌 (tune title).
# THE TRADITION'S OWN SPEC. Doctrine 62: the primary source states the rule you
# were about to invent, and here it states the one thing a text can never
# supply -- WHICH line ends the tune mandates as rhymes and which it does not.
# Without it a ci rhyme measurement has to infer its own ground truth from the
# characters it is scoring, which is doctrine 13's circularity in one step.
#
# SOURCE  hulbji/couyun, MIT (LICENSE at repo root, covers the repository),
#         couyun/ci_pu/ci_list/cipai_*.json -- 817 per-詞牌 files transcribed
#         from the 欽定詞譜. Reached by `git clone https://github.com/hulbji/
#         couyun` (data/CHANNELS.md). The 欽定詞譜 itself is a 1715 imperial
#         compilation: a millennium-adjacent work three centuries out of any
#         term (doctrine 40, the outer layer is MIT and the inner layer is
#         expired).
#
# COLUMNS
#   tune      the 詞牌, in traditional characters
#   aliases   other names the 詞譜 gives the same tune, '|' separated
#   chars     total characters in the 格
#   groups    the rhyme groups: positions '.' separated within a group, groups
#             '/' separated. Positions are 0-based indices into the poem's
#             character sequence with all punctuation stripped. TWO POSITIONS
#             RHYME IFF THEY ARE IN THE SAME GROUP.
#   ju        line ends the spec marks 句 -- it mandates NO rhyme there. This
#             column is what makes a matched control possible at all.
#   du        讀 positions: a phrase break INSIDE a line, not a line end.
#   template  the 平仄 template, 中 where the tune leaves the tone free.
#
# HOW groups WAS BUILT, and why not from the source's own `yun_classify`.
# `yun_classify` is not a spec statement: on 菩薩蠻 格三 it places positions
# 6/13 in the same group as 18/23, and 菩薩蠻 changes rhyme between them --
# 雪 does not rhyme 眉. The groups here are read from what the notation prints:
# a new group at every 换 marker, and at every change in the register the
# template mandates at consecutive rhyme positions. That declines to assert a
# 平仄通叶 relation anywhere, which is the conservative direction: it can only
# split a real group, never merge two.
#
# THE MARKER GRAMMAR IS LOCALLY AMBIGUOUS and the parse is constrained, not
# guessed. 平 and 仄 are both template symbols and rhyme-marker prefixes
# (平韵, 仄韵, 换平韵, 换仄韵), so `中仄中平仄韵` is five template positions plus
# 韵 or four plus 仄韵. The parse is a search required to satisfy the source's
# own two invariants at once -- the template length must equal `ge_lyu_str`
# and the 韻 positions must equal `rhyme_pos`. 8 of 2,294 格 admit no such
# parse and are REFUSED rather than resolved by a tie-break (doctrine 66).
# Reading every 平/仄 as template instead -- the obvious first pass -- drops
# every 換韻 tune including 菩薩蠻's canonical 格, and drops them SILENTLY,
# because a mis-parse fails the invariant and looks like an unparsable file.
tune	aliases	chars	groups	ju	du	template
歸字謠	蒼梧謠|十六字令	16	0.7.15	10		平中仄平平中仄平平平仄中仄仄平平
漁父引		18	5.11.17			平仄平平仄平仄平仄仄平平平平仄仄平平
閒中好	閒中好	18	7.17	2.12		平平仄平仄仄平平仄仄平平仄平平平仄平
閒中好	閒中好	18	7.17	2.12		平平仄仄仄平平仄仄仄平仄平平平仄平仄
紇那曲		20	4.9.19	14		中仄仄平平仄平平仄平中平中中仄平仄仄平平
拜新月		20	9.19	4.14		平平仄平仄仄仄仄平仄仄仄平仄平仄平平平仄
梧桐影		20	5.19	2.12		平仄平平平仄平仄仄平平仄平平平仄仄平平仄
囉嗊曲		20	9.19	4.14		仄中中中仄中中中中平中平平仄仄中仄仄平平
囉嗊曲		20	4.9.19	14		仄仄仄平平平平仄仄平平平仄仄仄平仄仄平平
囉嗊曲		28	6.13.27	20		平仄平平仄仄平平平仄仄仄平平仄平仄仄平平仄仄仄平平仄仄平
醉妝詞		22	2.5.10.13.16.21			仄平仄仄平仄仄仄平平仄仄平仄仄平仄仄仄平平仄
慶宣和		22	6.10.17/19.21			平仄平平仄仄平仄仄平平仄仄平平仄平平仄仄仄仄
南歌子		23	9.14.22	4.19		仄仄平平仄平平仄仄平平仄仄平平仄平平仄仄仄平平
南歌子		26	9.16.25	4.22		仄仄平平仄平平仄仄平中平中仄仄平平平仄仄平平仄仄平平
南歌子		52	9.16.25.35.42.51	4.30	22.48	中中平中仄平平中仄平中平中仄仄平平中仄中平中仄仄平平中仄平平仄平平仄仄平中平中仄仄平平中仄中平中仄仄平平
南歌子		52	9.16.25.35.42.51	4.30	20.46	仄仄平平仄平平平仄平平平平仄仄平平仄仄平平仄仄仄平平仄仄平平仄平平仄仄平仄平平仄仄平平仄仄平平仄仄仄平平
南歌子		53	9.16.25.35.42.52	4.30	20.47	仄仄平平仄平平仄仄平仄平平仄仄平平平仄平平平仄仄平平平仄平平仄平平仄仄平仄平平仄仄平平仄仄平平平平仄仄平平
南歌子		54	9.16.26.36.43.53	4.31	22.49	中仄平平仄平平仄仄平中平平仄仄平平中仄中平平仄中仄平平中仄平平仄平平仄仄平中平平仄仄平平中仄中平平仄中仄平平
南歌子		52	9.16.25.35.42.51	4.30	20.46	平中平中仄平平中仄仄平平平仄仄平仄仄仄平平平仄仄平仄平仄平中中仄平中仄仄中平平仄仄平仄仄仄中平平仄仄平仄
