# LINE-FINAL word counts over corpus/song/eng_*, PER AUTHOR.
#
# Generated by quality/build_song_frequency.py. Declared in data/sources.tsv,
# which states what this file may NOT be used to score.
#
# NOT INDEPENDENT OF corpus/song/. These counts ARE that corpus, so scoring
# any text drawn from it requires leave-one-author-out, which is what the
# `author` column is for -- doctrine 13, a resource used to score a cell may
# not be derived from that cell. `quality/frequency.py` refuses to serve this
# table for an author it contains unless `leave_out=` is passed.
#
# `author` is the corpus file's basename without `.txt`, which is the key
# `data/lyricists.tsv:corpus_path` uses.
#
# THE PERIOD IS A COORDINATE OF THIS FILE, NOT A FOOTNOTE. All 143 authors
# died in or before 1929 (median 1867), because the provenance gate admits
# nothing later. So this is a model of what was predictable in ENGLISH SUNG
# VERSE BEFORE 1930, and `thee` is its rank-2 line-final word. Doctrine 11
# has already caught two features reading period rather than quality; assume
# this one does too until a measurement says otherwise.
word	author	count
god	eng_hymn_watts	369
grace	eng_hymn_watts	328
lord	eng_hymn_watts	296
love	eng_hymn_watts	266
me	eng_celtic_robert_burns	236
name	eng_hymn_watts	198
word	eng_hymn_watts	187
man	eng_celtic_robert_burns	178
throne	eng_hymn_watts	170
me	eng_british_robert_herrick	150
praise	eng_hymn_watts	148
thee	eng_british_felicia_hemans	142
thee	eng_british_robert_herrick	141
be	eng_british_robert_herrick	140
john	eng_hall_william_barnes	137
sir	eng_hall_thomas_durfey	134
blood	eng_hymn_watts	129
face	eng_hymn_watts	129
day	eng_celtic_robert_burns	124
me	eng_hall_thomas_durfey	124
c	eng_hall_thomas_durfey	121
o	eng_celtic_robert_burns	121
eyes	eng_hymn_watts	120
high	eng_hymn_watts	119
day	eng_hymn_watts	114
o	eng_hall_william_barnes	109
head	eng_hall_william_barnes	106
skies	eng_hymn_watts	106
death	eng_hymn_watts	104
son	eng_hymn_watts	104
away	eng_british_felicia_hemans	103
it	eng_celtic_robert_burns	103
light	eng_hall_william_barnes	103
me	eng_british_christina_rossetti	103
more	eng_british_felicia_hemans	102
rise	eng_hymn_watts	102
night	eng_hall_william_barnes	101
here	eng_british_robert_herrick	100
sin	eng_hymn_watts	100
king	eng_hymn_watts	98
door	eng_hall_william_barnes	97
hell	eng_hymn_watts	97
love	eng_hall_thomas_durfey	97
above	eng_hymn_watts	96
free	eng_british_felicia_hemans	96
ground	eng_hall_william_barnes	96
him	eng_celtic_robert_burns	94
her	eng_hall_thomas_durfey	92
hand	eng_hymn_watts	91
that	eng_celtic_robert_burns	89
there	eng_hymn_watts	89
sky	eng_british_felicia_hemans	87
breast	eng_british_felicia_hemans	85
die	eng_hymn_watts	85
ver	eng_hymn_watts	85
divine	eng_hymn_watts	84
head	eng_hymn_watts	84
rest	eng_hymn_watts	84
thee	eng_hymn_watts	84
more	eng_hymn_watts	82
night	eng_celtic_robert_burns	81
thee	eng_celtic_robert_burns	81
away	eng_hall_thomas_durfey	80
see	eng_british_robert_herrick	79
thee	eng_celtic_thomas_moore	78
breath	eng_hymn_watts	77
known	eng_hymn_watts	76
light	eng_hymn_watts	76
pain	eng_british_adelaide_anne_procter	76
round	eng_hall_william_barnes	76
be	eng_hall_thomas_durfey	75
gone	eng_british_felicia_hemans	75
down	eng_hymn_watts	74
heart	eng_celtic_robert_burns	74
down	eng_hall_william_barnes	73
away	eng_hymn_watts	72
heart	eng_hymn_watts	72
below	eng_hall_william_barnes	71
day	eng_hall_thomas_durfey	71
sing	eng_hymn_watts	71
vain	eng_hymn_watts	71
ways	eng_hymn_watts	71
care	eng_celtic_robert_burns	70
deep	eng_british_felicia_hemans	70
there	eng_british_felicia_hemans	70
dust	eng_hymn_watts	69
earth	eng_british_felicia_hemans	69
power	eng_hymn_watts	69
sky	eng_hall_william_barnes	69
heart	eng_british_adelaide_anne_procter	68
race	eng_hymn_watts	68
sky	eng_hymn_watts	68
dead	eng_british_felicia_hemans	67
heart	eng_british_felicia_hemans	67
tone	eng_british_felicia_hemans	67
feet	eng_hymn_watts	66
tongue	eng_hymn_watts	66
too	eng_hymn_watts	66
tree	eng_hall_william_barnes	66
a	eng_celtic_robert_burns	65
again	eng_british_felicia_hemans	65
away	eng_british_adelaide_anne_procter	65
eye	eng_british_felicia_hemans	65
rest	eng_hall_william_barnes	65
day	eng_british_felicia_hemans	64
love	eng_british_felicia_hemans	64
mind	eng_hymn_watts	64
night	eng_hymn_watts	64
soul	eng_hymn_watts	64
sea	eng_british_felicia_hemans	63
way	eng_hymn_watts	63
die	eng_british_felicia_hemans	62
fair	eng_celtic_robert_burns	62
place	eng_hymn_watts	62
rest	eng_british_felicia_hemans	62
me	eng_british_adelaide_anne_procter	61
abroad	eng_hymn_watts	60
air	eng_british_felicia_hemans	60
appear	eng_hymn_watts	60
below	eng_hymn_watts	60
dear	eng_celtic_robert_burns	60
death	eng_british_felicia_hemans	60
fair	eng_hall_thomas_durfey	60
ground	eng_hymn_watts	60
heart	eng_hall_thomas_durfey	60
more	eng_hall_thomas_durfey	60
sound	eng_hall_william_barnes	60
be	eng_british_felicia_hemans	59
come	eng_hymn_watts	59
fear	eng_hymn_watts	59
high	eng_british_felicia_hemans	59
light	eng_british_felicia_hemans	59
love	eng_celtic_robert_burns	59
dead	eng_hymn_watts	58
it	eng_hall_thomas_durfey	58
song	eng_hymn_watts	58
stand	eng_hymn_watts	58
him	eng_hall_thomas_durfey	57
man	eng_hall_thomas_durfey	57
there	eng_british_robert_herrick	57
again	eng_hymn_watts	56
night	eng_british_felicia_hemans	56
shed	eng_british_felicia_hemans	56
head	eng_british_felicia_hemans	55
her	eng_celtic_robert_burns	55
me	eng_celtic_thomas_moore	55
shine	eng_hymn_watts	55
shore	eng_british_felicia_hemans	55
all	eng_hall_thomas_durfey	54
be	eng_celtic_robert_burns	53
brow	eng_british_felicia_hemans	53
day	eng_british_christina_rossetti	53
