language	phonology	corpus_file	family	structure	kind	population	constrained	n_pairs	n_true	n_false	n_refused	rate_judged
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	Kalevala-alliteration-(strong)	cell	endword-cross	no	38556	175	35396	2985	0.004920
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	Kalevala-alliteration-(strong)	cell	word-within-line	no	9638	34	6335	3269	0.005338
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	Kalevala-alliteration-(strong)-47	cell	endword-cross	no	38556	161	35410	2985	0.004526
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	Kalevala-alliteration-(strong)-47	cell	word-within-line	no	9638	106	9045	487	0.011583
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	Kalevala-alliteration-(strong,-closed-syllable)	cell	endword-cross	no	38556	36	35535	2985	0.001012
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	Kalevala-alliteration-(strong,-closed-syllable)	cell	word-within-line	no	9638	5	9146	487	0.000546
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	Kalevala-alliteration-(weak)	cell	endword-cross	no	38556	1478	34093	2985	0.041551
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	Kalevala-alliteration-(weak)	cell	word-within-line	no	9638	764	8387	487	0.083488
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	Kalevala-alliteration-(weak,-framed)	cell	endword-cross	no	38556	92	35479	2985	0.002586
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	Kalevala-alliteration-(weak,-framed)	cell	word-within-line	no	9638	49	9102	487	0.005355
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	adalhending	cell	endword-cross	no	38556	38	4187	34331	0.008994
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	adalhending	cell	word-within-line	no	9638	10	999	8629	0.009911
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	adalhending-(identical-onsets)	cell	endword-cross	no	38556	4	4221	34331	0.000947
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	adalhending-(identical-onsets)	cell	word-within-line	no	9638	5	1004	8629	0.004955
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	adalhending-adjacent	cell	endword-cross	no	38556	0	35571	2985	0.000000
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	adalhending-adjacent	cell	word-within-line	no	9638	0	6369	3269	0.000000
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	additive-rhyme	cell	endword-cross	no	38556	725	34846	2985	0.020382
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	additive-rhyme	cell	word-within-line	no	9638	55	6314	3269	0.008636
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	alliteration	cell	endword-cross	no	38556	1535	34036	2985	0.043153
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	alliteration	cell	word-within-line	no	9638	464	5905	3269	0.072853
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	apocopated-rhyme	preset	endword-cross	no	38556	0	1	38555	0.000000
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	apocopated-rhyme	preset	word-within-line	no	9638	0	1	9637	0.000000
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	apocopated-rhyme-(penultimate-stressed-syllable)	cell	endword-cross	no	38556	0	1	38555	0.000000
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	apocopated-rhyme-(penultimate-stressed-syllable)	cell	word-within-line	no	9638	0	1	9637	0.000000
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	apocopated-rhyme-33	cell	endword-cross	no	38556	725	34846	2985	0.020382
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	apocopated-rhyme-33	cell	word-within-line	no	9638	55	6314	3269	0.008636
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	apocopated-rime-riche	cell	endword-cross	no	38556	0	1	38555	0.000000
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	apocopated-rime-riche	cell	word-within-line	no	9638	0	1	9637	0.000000
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	assonance	cell	endword-cross	no	38556	3932	31639	2985	0.110539
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	assonance	cell	word-within-line	no	9638	484	5885	3269	0.075993
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	broken-rhyme	cell	endword-cross	no	38556	725	34846	2985	0.020382
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	broken-rhyme	cell	word-within-line	no	9638	55	6314	3269	0.008636
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	consonance	cell	endword-cross	no	38556	2814	32757	2985	0.079109
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	consonance	cell	word-within-line	no	9638	556	5813	3269	0.087298
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	cross-rhyme	cell	endword-cross	no	38556	725	34846	2985	0.020382
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	cross-rhyme	cell	word-within-line	no	9638	55	6314	3269	0.008636
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	cynghanedd-(consonant-answer)	cell	endword-cross	no	38556	2814	32757	2985	0.079109
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	cynghanedd-(consonant-answer)	cell	word-within-line	no	9638	556	5813	3269	0.087298
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	cynghanedd-lusg	preset	endword-cross	no	38556	1007	34564	2985	0.028310
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	cynghanedd-lusg	preset	word-within-line	no	9638	147	6222	3269	0.023081
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	cynghanedd-lusg-(identical-onsets)	cell	endword-cross	no	38556	280	35291	2985	0.007872
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	cynghanedd-lusg-(identical-onsets)	cell	word-within-line	no	9638	91	6278	3269	0.014288
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	cynghanedd-lusg-56	cell	endword-cross	no	38556	726	34845	2985	0.020410
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	cynghanedd-lusg-56	cell	word-within-line	no	9638	56	6313	3269	0.008793
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	dactylic-rhyme	cell	endword-cross	yes	38556	0	35571	2985	0.000000
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	dactylic-rhyme	cell	word-within-line	no	9638	0	6369	3269	0.000000
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	drottkvaett-adalhending	preset	endword-cross	no	38556	42	4183	34331	0.009941
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	drottkvaett-adalhending	preset	word-within-line	no	9638	15	994	8629	0.014866
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	drottkvaett-hending	preset	endword-cross	no	38556	913	3312	34331	0.216095
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	drottkvaett-hending	preset	word-within-line	no	9638	188	821	8629	0.186323
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	dvitiyakshara-prasa	preset	endword-cross	no	38556	65	509	37982	0.113240
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	dvitiyakshara-prasa	preset	word-within-line	no	9638	19	106	9513	0.152000
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	dvitiyakshara-prasa-(consonant-only)	cell	endword-cross	no	38556	2	572	37982	0.003484
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	dvitiyakshara-prasa-(consonant-only)	cell	word-within-line	no	9638	0	125	9513	0.000000
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	dvitiyakshara-prasa-(full-aksara)	cell	endword-cross	no	38556	27	547	37982	0.047038
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	dvitiyakshara-prasa-(full-aksara)	cell	word-within-line	no	9638	5	120	9513	0.040000
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	dvitiyakshara-prasa-50	cell	endword-cross	no	38556	23	551	37982	0.040070
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	dvitiyakshara-prasa-50	cell	word-within-line	no	9638	7	118	9513	0.056000
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	eye-rhyme	cell	endword-cross	no	38556	725	34846	2985	0.020382
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	eye-rhyme	cell	word-within-line	no	9638	55	6314	3269	0.008636
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	feminine-rhyme	cell	endword-cross	yes	38556	18	35553	2985	0.000506
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	feminine-rhyme	cell	word-within-line	no	9638	0	6369	3269	0.000000
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	historical-rhyme	cell	endword-cross	no	38556	725	34846	2985	0.020382
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	historical-rhyme	cell	word-within-line	no	9638	55	6314	3269	0.008636
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	holorhyme	cell	endword-cross	no	38556	725	34846	2985	0.020382
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	holorhyme	cell	word-within-line	no	9638	55	6314	3269	0.008636
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	initial-alliteration	cell	endword-cross	no	38556	1535	34036	2985	0.043153
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	initial-alliteration	cell	word-within-line	no	9638	464	5905	3269	0.072853
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	internal-alliteration	cell	endword-cross	no	38556	1535	34036	2985	0.043153
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	internal-alliteration	cell	word-within-line	no	9638	464	5905	3269	0.072853
