file	author	title	n_lines	n_tokens	mattr	fwr	anaphora	cv	predictability
eng_american_a_b_cunningham.txt	A. B. Cunningham	THE DYING SOLDIER BOY  [air: Maid of Monterey]	16	179	0.7886153846153846	0.43575418994413406	0.3125	0.11046770912449827	1.0
eng_american_a_b_cunningham.txt	A. B. Cunningham	THE SOLDIER'S DEATH	38	349	0.7928000000000001	0.4154727793696275	0.15789473684210525	0.13418188508845955	0.6470588235294118
eng_american_a_f_leovy.txt	A. F. Leovy	THE REBEL'S DREAM	24	160	0.8345945945945946	0.425	0.08333333333333333	0.17139136501002608	0.8333333333333334
eng_american_a_w_kercheval.txt	A. W. Kercheval	PRAY, MAIDEN, PRAY!	24	126	0.7898701298701298	0.3492063492063492	0.16666666666666666	0.2534717368677986	0.9166666666666666
eng_american_alex_a_cummins.txt	Alex. A. Cummins	SONG OF THE PRIVATEER	32	189	0.753	0.43386243386243384	0.25	0.20457793575853125	0.6875
eng_american_annie_adams_fields.txt	Annie Adams Fields	"Still in Thy Love I Trust."	12	80	0.8135483870967741	0.4625	0.16666666666666666	0.24748737341529162	0.25
eng_american_annie_adams_fields.txt	Annie Adams Fields	CEDAR MOUNTAIN	24	144	0.8282105263157894	0.3958333333333333	0.125	0.1711501853219639	0.7
eng_american_bayard_taylor.txt	Bayard Taylor (1825-1878)	Bedouin Song	33	203	0.7292207792207792	0.45320197044334976	0.36363636363636365	0.15562136944759916	0.75
eng_american_bayard_taylor.txt	Bayard Taylor (1825-1878)	A STORY FOR A CHILD	40	249	0.7563	0.4497991967871486	0.15	0.16258861429716598	0.7647058823529411
eng_american_bayard_taylor.txt	Bayard Taylor (1825-1878)	THROUGH BALTIMORE	54	294	0.8506938775510203	0.3979591836734694	0.1111111111111111	0.33096479061687456	0.18518518518518517
eng_american_bayard_taylor.txt	Bayard Taylor (1825-1878)	LINCOLN AT GETTYSBURG	29	191	0.8625352112676057	0.4397905759162304	0.13793103448275862	0.23084196528846704	0.6428571428571429
eng_american_bayard_taylor.txt	Bayard Taylor (1825-1878)	The Song of the Camp	44	248	0.8240201005025125	0.4032258064516129	0.13636363636363635	0.22085586996176054	0.2631578947368421
eng_american_bayard_taylor.txt	Bayard Taylor (1825-1878)	THE NATIONAL ODE	300	1855	0.7983499446290143	0.415633423180593	0.12333333333333334	0.2609613168401284	0.6666666666666666
eng_american_bayard_taylor.txt	Bayard Taylor (1825-1878)	Storm Song	24	168	0.824873949579832	0.4226190476190476	0.125	0.13041013273932528	0.5
eng_american_bayard_taylor.txt	Bayard Taylor (1825-1878)	The Promissory Note	46	247	0.7441414141414141	0.4777327935222672	0.10869565217391304	0.4517136384744423	0.5263157894736842
eng_american_byron_forceythe_willson.txt	Byron Forceythe Willson	No More	12	90	0.5414634146341464	0.4777777777777778	0.25	0.08606629658238704	0.6666666666666666
eng_american_byron_forceythe_willson.txt	Byron Forceythe Willson	BOY BRITTAN	97	615	0.6402473498233215	0.39186991869918697	0.26804123711340205	0.4579596208655455	0.7368421052631579
eng_american_byron_forceythe_willson.txt	Byron Forceythe Willson	THE OLD SERGEANT	102	1035	0.7784381338742393	0.42995169082125606	0.11764705882352941	0.3403086621194361	0.782608695652174
eng_american_capt_blackford.txt	Capt. Blackford	THE CAVALIER'S GLEE  [air: The Pirate's Glee]	16	112	0.7622222222222222	0.4375	0.1875	0.1515228816828316	0.7142857142857143
eng_american_charles_fenno_hoffman.txt	Charles Fenno Hoffman (1806-1884)	MONTEREY	30	187	0.8607246376811595	0.42780748663101603	0.1	0.12206109316057034	0.6666666666666666
eng_american_charles_fenno_hoffman.txt	Charles Fenno Hoffman (1806-1884)	Sparkling and Bright	24	160	0.8163963963963964	0.46875	0.16666666666666666	0.1479019945774904	0.7
eng_american_charles_fenno_hoffman.txt	Charles Fenno Hoffman (1806-1884)	RIO BRAVO--A MEXICAN LAMENT	52	279	0.8768695652173913	0.32974910394265233	0.07692307692307693	0.1973048869594182	0.7
eng_american_clarence_prentice.txt	Clarence Prentice	WE KNOW THAT WE WERE REBELS; OR, WHY CAN WE NOT BE BROTHERS?	24	262	0.8523943661971831	0.4389312977099237	0.20833333333333334	0.21792522784152976	0.8181818181818182
eng_american_e_e_kidd.txt	E. E. Kidd	BY THE BANKS OF RED RIVER	20	178	0.744031007751938	0.4550561797752809	0.15	0.1700308533755231	0.9
eng_american_e_w_cave.txt	E. W. Cave	THE FLAG OF THE SOUTHLAND  [air: I'm Afloat]	32	286	0.7708016877637132	0.4125874125874126	0.09375	0.1279930434805813	0.5625
eng_american_edward_rowland_sill.txt	Edward Rowland Sill	The Fool's Prayer	40	272	0.8268161434977578	0.4411764705882353	0.175	0.12391396725259352	0.65
eng_american_edward_rowland_sill.txt	Edward Rowland Sill	The Future	25	139	0.8095555555555556	0.4892086330935252	0.4	0.37754364786768135	0.5833333333333334
eng_american_edward_rowland_sill.txt	Edward Rowland Sill	A Tropical Morning at Sea	48	272	0.855695067264574	0.4007352941176471	0.041666666666666664	0.27275348516163833	0.8181818181818182
eng_american_edward_rowland_sill.txt	Edward Rowland Sill	Eve's Daughter	14	112	0.8520634920634921	0.4375	0.14285714285714285	0.19750509984000394	0.7142857142857143
eng_american_edward_rowland_sill.txt	Edward Rowland Sill	Opportunity	17	138	0.7934831460674158	0.4420289855072464	0.35294117647058826	0.0958706236059213	0.3333333333333333
eng_american_edward_rowland_sill.txt	Edward Rowland Sill	THE DEAD PRESIDENT	42	295	0.8624390243902439	0.4033898305084746	0.07142857142857142	0.22075579871410084	0.7777777777777778
eng_american_edward_rowland_sill.txt	Edward Rowland Sill	THE LOVER'S SONG	16	97	0.8229166666666666	0.4329896907216495	0.1875	0.18139172280235896	1.0
eng_american_edward_rowland_sill.txt	Edward Rowland Sill	A Baker's Duzzen uv Wize Sawz	13	60	0.5654545454545455	0.06666666666666667	1.0	0.15986105077709067	0.5
eng_american_ethelinda_beers.txt	Ethelinda Beers (1827-1879)	The Picket Guard ('All quiet along the Potomac')	48	373	0.8018518518518519	0.4450402144772118	0.08333333333333333	0.23382873293283443	0.29411764705882354
eng_american_ethelinda_beers.txt	Ethelinda Beers (1827-1879)	WEIGHING THE BABY	36	223	0.8345977011494253	0.37668161434977576	0.08333333333333333	0.18176653093732054	0.6470588235294118
eng_american_fitz_greene_halleck.txt	Fitz-Greene Halleck (1790-1867)	SONG.	51	297	0.6712903225806452	0.3838383838383838	0.11764705882352941	0.2582829465192931	0.7083333333333334
eng_american_fitz_greene_halleck.txt	Fitz-Greene Halleck (1790-1867)	On the Death of Joseph Rodman Drake	24	141	0.8356521739130435	0.375886524822695	0.125	0.10203896858112169	0.6666666666666666
eng_american_francis_miles_finch.txt	Francis Miles Finch	THE BLUE AND THE GRAY	56	301	0.6365079365079366	0.5116279069767442	0.26785714285714285	0.23991680033064203	0.8888888888888888
eng_american_francis_miles_finch.txt	Francis Miles Finch	NATHAN HALE	60	332	0.6814840989399293	0.463855421686747	0.15	0.19925102901856903	0.43478260869565216
eng_american_g_w_alexander.txt	G. W. Alexander	THE SOUTHERN SOLDIER BOY  [air: The Boy with the Auburn Hair]	44	284	0.6633191489361702	0.3873239436619718	0.1590909090909091	0.29070094986690553	0.9090909090909091
eng_american_george_henry_boker.txt	George Henry Boker	To America	14	114	0.9190769230769231	0.4298245614035088	0.07142857142857142	0.10946298121108833	0.7142857142857143
eng_american_george_henry_boker.txt	George Henry Boker	To England	30	217	0.8719047619047618	0.3456221198156682	0.06666666666666667	0.25160615105472256	0.8461538461538461
eng_american_george_henry_boker.txt	George Henry Boker	Dirge for a Soldier	32	186	0.6337226277372262	0.45698924731182794	0.25	0.2211501484000337	0.8
eng_american_george_henry_boker.txt	George Henry Boker	ON BOARD THE “CUMBERLAND.”	152	864	0.8495214723926381	0.41435185185185186	0.09868421052631579	0.20464627955480336	0.5873015873015873
eng_american_george_henry_boker.txt	George Henry Boker	THE SWORD-BEARER	64	428	0.829287598944591	0.45560747663551404	0.15625	0.1848011208718242	0.7142857142857143
eng_american_george_henry_boker.txt	George Henry Boker	THE “VARUNA.”	24	195	0.8195890410958904	0.4564102564102564	0.125	0.12466918749890481	0.8
eng_american_george_henry_boker.txt	George Henry Boker	The Black Regiment	76	367	0.8382389937106919	0.39509536784741145	0.05263157894736842	0.17425238632479778	0.6285714285714286
eng_american_george_henry_boker.txt	George Henry Boker	UPON THE HILL BEFORE CENTREVILLE	345	2209	0.8366851851851852	0.4214576731552739	0.11304347826086956	0.13790741941396734	0.6927710843373494
eng_american_george_henry_boker.txt	George Henry Boker	THE CROSSING AT FREDERICKSBURG	92	564	0.8085825242718447	0.46808510638297873	0.16304347826086957	0.17379504616798364	0.8409090909090909
