eng_american_john_greenleaf_whittier.txt {'raw_title_items': -1, 'one_line_blocks': 0, 'signature_items': -1, 'verse_marks': -1}
eng_american_thomas_buchanan_read.txt {'raw_title_items': -1, 'one_line_blocks': -7, 'signature_items': 0, 'verse_marks': -7}
eng_british_felicia_hemans.txt {'raw_title_items': -5, 'one_line_blocks': -5, 'signature_items': 0, 'verse_marks': -12}
eng_british_frederick_locker_lampson.txt {'raw_title_items': 0, 'one_line_blocks': 0, 'signature_items': 0, 'verse_marks': -1}
eng_british_lord_byron.txt {'raw_title_items': 0, 'one_line_blocks': -5, 'signature_items': 0, 'verse_marks': 0}
eng_british_richard_lovelace.txt {'raw_title_items': -1, 'one_line_blocks': -9, 'signature_items': -2, 'verse_marks': -17}
eng_british_robert_herrick.txt {'raw_title_items': 0, 'one_line_blocks': -63, 'signature_items': -10, 'verse_marks': 0}
eng_british_william_blake.txt {'raw_title_items': 1, 'one_line_blocks': 0, 'signature_items': 1, 'verse_marks': 0}
eng_hall_thomas_durfey.txt {'raw_title_items': 1, 'one_line_blocks': -1, 'signature_items': 1, 'verse_marks': -1}
eng_parlour_daniel_decatur_emmett.txt {'raw_title_items': 0, 'one_line_blocks': -2, 'signature_items': 0, 'verse_marks': -2}
taxonomy [('before', 8667, 1538), ('after', 8661, 1538)]
