cProfile of one cold 'finish' on songs/drafts/before_i_did.draft.txt (16 lines, 0 open lines), sorted by cumulative time; profiling overhead roughly doubles wall time
         175963207 function calls (175543413 primitive calls) in 118.220 seconds

   Ordered by: cumulative time
   List reduced from 3465 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001  118.577  118.577 /home/user/CodexMusica/lyric-harness/lyric_harness.py:7060(main)
        1    0.000    0.000  110.805  110.805 /home/user/CodexMusica/lyric-harness/quality/loop.py:1604(revise_loop)
        2    0.000    0.000  110.805   55.402 /home/user/CodexMusica/lyric-harness/quality/replay_memo.py:167(_memo)
        2    0.002    0.001  110.771   55.386 /home/user/CodexMusica/lyric-harness/quality/revise.py:2822(inspect)
        1    0.000    0.000  105.790  105.790 /home/user/CodexMusica/lyric-harness/quality/replay_memo.py:187(brief)
        1    0.000    0.000  105.783  105.783 /home/user/CodexMusica/lyric-harness/quality/replay_memo.py:191(<lambda>)
        1    0.001    0.001  105.783  105.783 /home/user/CodexMusica/lyric-harness/quality/revise.py:4194(brief)
       60    0.007    0.000   86.735    1.446 /home/user/CodexMusica/lyric-harness/quality/revise.py:3888(modal_head)
       60    0.028    0.000   86.729    1.445 /home/user/CodexMusica/lyric-harness/quality/revise.py:3903(_rank_field)
  1260294   20.155    0.000   81.812    0.000 /home/user/CodexMusica/lyric-harness/lyric_harness.py:3427(score)
       60    0.000    0.000   80.763    1.346 /home/user/CodexMusica/lyric-harness/quality/revise.py:3678(_field)
       60    0.129    0.002   80.763    1.346 /home/user/CodexMusica/lyric-harness/quality/revise.py:3766(<listcomp>)
       60    0.603    0.010   80.633    1.344 /home/user/CodexMusica/lyric-harness/quality/revise.py:3768(_field_one)
       22    2.316    0.105   59.843    2.720 /home/user/CodexMusica/lyric-harness/lyric_harness.py:3795(candidates)
  1260294    5.948    0.000   25.303    0.000 /home/user/CodexMusica/lyric-harness/lyric_harness.py:3357(channel_agreement)
  3807439    9.657    0.000   20.214    0.000 /home/user/CodexMusica/lyric-harness/lyric_harness.py:3096(cluster_sim)
        2    0.000    0.000   14.377    7.188 /home/user/CodexMusica/lyric-harness/quality/floor.py:1454(check)
        2    0.000    0.000   14.374    7.187 /home/user/CodexMusica/lyric-harness/quality/features.py:556(extract)
        2    0.004    0.002   14.350    7.175 /home/user/CodexMusica/lyric-harness/quality/features.py:453(_predictability)
       30    0.435    0.015   14.334    0.478 /home/user/CodexMusica/lyric-harness/quality/features.py:263(field)
    65140    0.723    0.000   13.584    0.000 /home/user/CodexMusica/lyric-harness/lyric_harness.py:3019(best_score)
  1260314    7.359    0.000   11.754    0.000 /home/user/CodexMusica/lyric-harness/lyric_harness.py:3645(shared_ending)
        5    2.219    0.444    8.158    1.632 /home/user/CodexMusica/lyric-harness/lyric_harness.py:888(__init__)
  3787653    6.041    0.000    7.689    0.000 /home/user/CodexMusica/lyric-harness/lyric_harness.py:3086(cons_sim)
  1260294    1.589    0.000    7.172    0.000 /home/user/CodexMusica/lyric-harness/lyric_harness.py:3422(<listcomp>)
   106044    1.172    0.000    7.016    0.000 /home/user/CodexMusica/lyric-harness/lyric_harness.py:1059(syllabify)
5085686/5085680    1.852    0.000    5.588    0.000 {built-in method builtins.min}
