cProfile of ONE REAL WARM FOLD (3-answer state -> 5-answer state, same process, field memo live), cumulative, top 50
         1009217727 function calls (993011486 primitive calls) in 696.398 seconds

   Ordered by: cumulative time
   List reduced from 1263 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.258    0.258  712.661  712.661 <stdin>:3(run)
        1    0.001    0.001  712.404  712.404 /home/user/CodexMusica/lyric-harness/lyric_harness.py:7060(main)
        1    0.001    0.001  705.799  705.799 /home/user/CodexMusica/lyric-harness/quality/loop.py:1604(revise_loop)
       14    0.001    0.000  705.796   50.414 /home/user/CodexMusica/lyric-harness/quality/replay_memo.py:167(_memo)
       22    0.032    0.001  668.379   30.381 /home/user/CodexMusica/lyric-harness/quality/revise.py:2853(inspect)
       44    0.072    0.002  469.870   10.679 /home/user/CodexMusica/lyric-harness/quality/revise.py:1270(grade)
      484    0.571    0.001  467.565    0.966 /home/user/CodexMusica/lyric-harness/quality/relations.py:7081(line_pairs_for)
      484   16.864    0.035  466.967    0.965 /home/user/CodexMusica/lyric-harness/quality/relations.py:2652(realise)
  1786804   66.554    0.000  444.814    0.000 /home/user/CodexMusica/lyric-harness/quality/relations.py:2313(evaluate)
        9    0.012    0.001  370.488   41.165 /home/user/CodexMusica/lyric-harness/quality/revise.py:4280(brief)
        4    0.000    0.000  315.619   78.905 /home/user/CodexMusica/lyric-harness/quality/loop.py:997(_try_tier1)
        4    0.000    0.000  315.618   78.905 /home/user/CodexMusica/lyric-harness/quality/replay_memo.py:195(verify)
        4    0.002    0.000  315.610   78.903 /home/user/CodexMusica/lyric-harness/quality/replay_memo.py:204(<lambda>)
        4    0.002    0.000  315.609   78.902 /home/user/CodexMusica/lyric-harness/quality/revise.py:4623(verify)
        5    0.000    0.000  262.602   52.520 /home/user/CodexMusica/lyric-harness/quality/replay_memo.py:187(brief)
        5    0.001    0.000  262.535   52.507 /home/user/CodexMusica/lyric-harness/quality/replay_memo.py:191(<lambda>)
       22    0.013    0.001  235.651   10.711 /home/user/CodexMusica/lyric-harness/quality/revise.py:2159(group_merges)
      708    0.451    0.001  180.492    0.255 /home/user/CodexMusica/lyric-harness/quality/revise.py:3989(_rank_field)
      680    0.088    0.000  165.363    0.243 /home/user/CodexMusica/lyric-harness/quality/revise.py:3974(modal_head)
  4547828   31.678    0.000  133.755    0.000 /home/user/CodexMusica/lyric-harness/quality/relations.py:1315(__call__)
        5    0.000    0.000  127.576   25.515 /home/user/CodexMusica/lyric-harness/quality/replay_memo.py:208(inspect)
        5    0.000    0.000  127.501   25.500 /home/user/CodexMusica/lyric-harness/quality/replay_memo.py:212(<lambda>)
  1867364   33.157    0.000  127.256    0.000 /home/user/CodexMusica/lyric-harness/lyric_harness.py:3427(score)
      708    0.002    0.000  102.996    0.145 /home/user/CodexMusica/lyric-harness/quality/revise.py:3709(_field)
      708    0.179    0.000  102.995    0.145 /home/user/CodexMusica/lyric-harness/quality/revise.py:3797(<listcomp>)
      720    0.783    0.001  102.816    0.143 /home/user/CodexMusica/lyric-harness/quality/revise.py:3831(_field_one)
       26    2.843    0.109   71.872    2.764 /home/user/CodexMusica/lyric-harness/lyric_harness.py:3795(candidates)
  2098578    8.175    0.000   69.903    0.000 /home/user/CodexMusica/lyric-harness/quality/revise.py:3901(_spelled_rime)
 12139840   36.076    0.000   69.458    0.000 /home/user/CodexMusica/lyric-harness/quality/relations.py:1214(_set_agree)
  9095656    8.228    0.000   51.935    0.000 /home/user/CodexMusica/lyric-harness/quality/relations.py:1310(_cls)
 21466780   20.805    0.000   43.528    0.000 /home/user/CodexMusica/lyric-harness/quality/relations.py:1072(read)
  9095656   14.656    0.000   42.187    0.000 /home/user/CodexMusica/lyric-harness/quality/quotients.py:84(manner)
   122312    1.791    0.000   41.404    0.000 /home/user/CodexMusica/lyric-harness/lyric_harness.py:3019(best_score)
  3104192   12.359    0.000   40.068    0.000 /home/user/CodexMusica/lyric-harness/quality/relations.py:1245(__call__)
  2098578   19.976    0.000   38.712    0.000 /home/user/CodexMusica/lyric-harness/lyric_harness.py:3114(spelled_rime)
  4585678    6.367    0.000   36.960    0.000 /home/user/CodexMusica/lyric-harness/quality/relations.py:1235(__call__)
       28    0.190    0.007   36.673    1.310 /home/user/CodexMusica/lyric-harness/quality/revise.py:4104(joint_field_screened)
  1867364    9.161    0.000   36.060    0.000 /home/user/CodexMusica/lyric-harness/lyric_harness.py:3357(channel_agreement)
      708    1.194    0.002   35.953    0.051 /home/user/CodexMusica/lyric-harness/quality/revise.py:4026(<listcomp>)
      708    1.103    0.002   35.756    0.051 /home/user/CodexMusica/lyric-harness/quality/revise.py:4025(<listcomp>)
  3130012    4.868    0.000   32.357    0.000 /home/user/CodexMusica/lyric-harness/quality/relations.py:2438(_identity_values)
