song	harness_commit	measured	n_lines	n_sections	rhyme_predictability_mean	rhyme_predictability_min	concreteness_mean	concreteness_p90	abstract_noun_ratio	pos_binding_diversity	mattr	function_word_ratio	syntactic_inversion_rate	content_word_freq_mean
carry_it_over.txt	8d21eb2-WORKING	2026-08-24	25	23	0.861454	0.131739	3.043667	4.530000	0.037037	0.916667	0.821538	0.349398	0.040000	8584.186916
keep_the_light.txt	8d21eb2-WORKING	2026-08-24	18	11	0.816206	0.296844	3.511642	4.820000	0.129032	0.333333	0.721609	0.441176	0.055556	6691.828947
one_more.txt	8d21eb2-WORKING	2026-08-24	19	15	0.929889	0.834505	3.216667	4.750000	0.088235	0.777778	0.783243	0.418750	0.052632	2870.550562
stay_awake.txt	8d21eb2-WORKING	2026-08-24	16	10	0.896938	0.555543	3.562031	4.870000	0.076923	0.625000	0.841515	0.365217	0.062500	4442.083333
turn_the_wheel.txt	8d21eb2-WORKING	2026-08-24	12	8	0.870910	0.724321	3.909818	4.860000	0.054054	0.666667	0.660000	0.476636	0.000000	4552.321429
carry_it_over.txt	1acd6c8	2026-08-25	25	23	0.861454	0.131739	3.043667	4.530000	0.037037	0.916667	0.821538	0.349398	0.040000	8584.186916
keep_the_light.txt	1acd6c8	2026-08-25	18	11	0.816206	0.296844	3.511642	4.820000	0.129032	0.333333	0.721609	0.441176	0.055556	6691.828947
long_bridge.txt	1acd6c8	2026-08-25	25	8	0.856383	0.220299	3.945395	4.930000	0.011111	0.416667	0.929114	0.217391	0.360000	5782.506250
one_more.txt	1acd6c8	2026-08-25	19	15	0.929889	0.834505	3.216667	4.750000	0.088235	0.777778	0.783243	0.418750	0.052632	2870.550562
stay_awake.txt	1acd6c8	2026-08-25	16	10	0.896938	0.555543	3.562031	4.870000	0.076923	0.625000	0.841515	0.365217	0.062500	4442.083333
turn_the_wheel.txt	1acd6c8	2026-08-25	12	8	0.870910	0.724321	3.909818	4.860000	0.054054	0.666667	0.660000	0.476636	0.000000	4552.321429
