song	step	measured	harness_commit	verb	exit	fact	value
keep_the_light.txt	1	2026-08-24	34149de-WORKING	plan	0	form	verse-chorus
keep_the_light.txt	1	2026-08-24	34149de-WORKING	plan	0	seed	22
keep_the_light.txt	1	2026-08-24	34149de-WORKING	plan	0	lines	18
keep_the_light.txt	1	2026-08-24	34149de-WORKING	plan	0	sections	11
keep_the_light.txt	1	2026-08-24	34149de-WORKING	plan	0	pattern	verse-prechorus-chorus-false_ending-prechorus-chorus-tag-prechorus-chorus-postchorus-coda
keep_the_light.txt	1	2026-08-24	34149de-WORKING	plan	0	meter	3/8 as (3,)
keep_the_light.txt	1	2026-08-24	34149de-WORKING	plan	0	subdivision	2
keep_the_light.txt	1	2026-08-24	34149de-WORKING	plan	0	groups	1.T3,3.T7,4.T7;2.headrime,3;1.T7,2;11.T5,12.T2;10.T6,12.endword;16.head,17.T1;15.T7,16,17.T3;15.headrime,16.T3,17
keep_the_light.txt	1	2026-08-24	34149de-WORKING	plan	0	returns	6,9;6,14
keep_the_light.txt	2	2026-08-24	34149de-WORKING	song	0	mandate_groups	10
keep_the_light.txt	2	2026-08-24	34149de-WORKING	song	0	lines	18
keep_the_light.txt	2	2026-08-24	34149de-WORKING	song	0	mandated_pairs	16
keep_the_light.txt	2	2026-08-24	34149de-WORKING	song	0	mandate_source	declared
keep_the_light.txt	2	2026-08-24	34149de-WORKING	song	0	md5	4f1eea69e65c
keep_the_light.txt	2	2026-08-24	34149de-WORKING	song	0	briefed	18
keep_the_light.txt	2	2026-08-24	34149de-WORKING	song	0	per_line_flag	0
keep_the_light.txt	2	2026-08-24	34149de-WORKING	song	0	per_line_note	71
keep_the_light.txt	2	2026-08-24	34149de-WORKING	song	0	whole_draft	13
keep_the_light.txt	2	2026-08-24	34149de-WORKING	song	0	whole_draft_flag	0
keep_the_light.txt	2	2026-08-24	34149de-WORKING	song	0	finding:ANACRUSIS	NOTE x10
keep_the_light.txt	2	2026-08-24	34149de-WORKING	song	0	finding:COLLISION_CUT_IS_SCALAR_ONLY	NOTE x1
keep_the_light.txt	2	2026-08-24	34149de-WORKING	song	0	finding:COUNT_IS_A_LOWER_BOUND	NOTE x1
keep_the_light.txt	2	2026-08-24	34149de-WORKING	song	0	finding:CROWDED	NOTE x15
keep_the_light.txt	2	2026-08-24	34149de-WORKING	song	0	finding:EXTRAPOLATED_LENGTH	NOTE x1
keep_the_light.txt	2	2026-08-24	34149de-WORKING	song	0	finding:FUNCTION_UNDECLARED	NOTE x1
keep_the_light.txt	2	2026-08-24	34149de-WORKING	song	0	finding:HOOK_CONFINED	NOTE x1
keep_the_light.txt	2	2026-08-24	34149de-WORKING	song	0	finding:LEXICAL_MONOTONY	NOTE x1
keep_the_light.txt	2	2026-08-24	34149de-WORKING	song	0	finding:NEAR_COLLISION	NOTE x1
keep_the_light.txt	2	2026-08-24	34149de-WORKING	song	0	finding:NO_SETTING	NOTE x1
keep_the_light.txt	2	2026-08-24	34149de-WORKING	song	0	finding:PROMINENCE_CANNOT_ALIGN	NOTE x18
keep_the_light.txt	2	2026-08-24	34149de-WORKING	song	0	finding:PROMINENCE_EXCEEDS_HEADS	NOTE x18
keep_the_light.txt	2	2026-08-24	34149de-WORKING	song	0	finding:REFRAIN_REPEAT	NOTE x2
keep_the_light.txt	2	2026-08-24	34149de-WORKING	song	0	finding:REPEAT_ACROSS_GROUPS	NOTE x1
keep_the_light.txt	2	2026-08-24	34149de-WORKING	song	0	finding:RETURN_LOCKED	NOTE x1
keep_the_light.txt	2	2026-08-24	34149de-WORKING	song	0	finding:RETURN_NEVER_RETURNS	NOTE x2
keep_the_light.txt	2	2026-08-24	34149de-WORKING	song	0	finding:SCHEME_COLLISION	NOTE x5
keep_the_light.txt	2	2026-08-24	34149de-WORKING	song	0	finding:SINGLE_INSTANCE	NOTE x3
keep_the_light.txt	2	2026-08-24	34149de-WORKING	song	0	finding:UNREADABLE_INTERIOR_WORD	NOTE x1
keep_the_light.txt	3	2026-08-24	34149de-WORKING	revise	0	stop_reason	SUCCESS
keep_the_light.txt	3	2026-08-24	34149de-WORKING	revise	0	rounds	0
keep_the_light.txt	3	2026-08-24	34149de-WORKING	revise	0	md5_in	4f1eea69e65c
keep_the_light.txt	3	2026-08-24	34149de-WORKING	revise	0	md5_out	4f1eea69e65c
keep_the_light.txt	3	2026-08-24	34149de-WORKING	revise	0	unchanged	yes
keep_the_light.txt	3	2026-08-24	34149de-WORKING	revise	0	mandated	16
keep_the_light.txt	3	2026-08-24	34149de-WORKING	revise	0	judged	16
keep_the_light.txt	3	2026-08-24	34149de-WORKING	revise	0	pairs_refused	0
