song	step	measured	harness_commit	verb	exit	fact	value
matinee	1	2026-08-25	60b6c30-WORKING	screen	0	pair:weigh~obey	CLEAN
matinee	1	2026-08-25	60b6c30-WORKING	screen	0	pair:weigh~cafe	CLEAN
matinee	1	2026-08-25	60b6c30-WORKING	screen	0	pair:weigh~ballet	CLEAN
matinee	1	2026-08-25	60b6c30-WORKING	screen	0	pair:weigh~matinee	CLEAN
matinee	1	2026-08-25	60b6c30-WORKING	screen	0	pair:weigh~parfait	CLEAN
matinee	1	2026-08-25	60b6c30-WORKING	screen	0	pair:weigh~astray	CLEAN
matinee	1	2026-08-25	60b6c30-WORKING	screen	0	pair:weigh~sleigh	BANNED: HOMEOTELEUTON
matinee	1	2026-08-25	60b6c30-WORKING	screen	0	pair:weigh~bouquet	CLEAN
matinee	1	2026-08-25	60b6c30-WORKING	screen	0	pair:obey~cafe	CLEAN
matinee	1	2026-08-25	60b6c30-WORKING	screen	0	pair:obey~ballet	CLEAN
matinee	1	2026-08-25	60b6c30-WORKING	screen	0	pair:obey~matinee	CLEAN
matinee	1	2026-08-25	60b6c30-WORKING	screen	0	pair:obey~parfait	CLEAN
matinee	1	2026-08-25	60b6c30-WORKING	screen	0	pair:obey~astray	BANNED: MODAL_RHYME
matinee	1	2026-08-25	60b6c30-WORKING	screen	0	pair:obey~sleigh	CLEAN
matinee	1	2026-08-25	60b6c30-WORKING	screen	0	pair:obey~bouquet	CLEAN
matinee	1	2026-08-25	60b6c30-WORKING	screen	0	pair:cafe~ballet	CLEAN
matinee	1	2026-08-25	60b6c30-WORKING	screen	0	pair:cafe~matinee	CLEAN
matinee	1	2026-08-25	60b6c30-WORKING	screen	0	pair:cafe~parfait	CLEAN
matinee	1	2026-08-25	60b6c30-WORKING	screen	0	pair:cafe~astray	CLEAN
matinee	1	2026-08-25	60b6c30-WORKING	screen	0	pair:cafe~sleigh	CLEAN
matinee	1	2026-08-25	60b6c30-WORKING	screen	0	pair:cafe~bouquet	CLEAN
