song	step	measured	harness_commit	verb	exit	fact	value
the_long_way_back	1	2026-08-27	0593fa1-WORKING	plan	0	form	verse-chorus
the_long_way_back	1	2026-08-27	0593fa1-WORKING	plan	0	seed	28
the_long_way_back	1	2026-08-27	0593fa1-WORKING	plan	0	lines	29
the_long_way_back	1	2026-08-27	0593fa1-WORKING	plan	0	sections	7
the_long_way_back	1	2026-08-27	0593fa1-WORKING	plan	0	pattern	chorus-vamp-chorus-postchorus-chorus-verse-coda
the_long_way_back	1	2026-08-27	0593fa1-WORKING	plan	0	meter	5/8 as (3, 2)
the_long_way_back	1	2026-08-27	0593fa1-WORKING	plan	0	subdivision	4
the_long_way_back	1	2026-08-27	0593fa1-WORKING	plan	0	groups	1.T2,4.T5,5.endword;2.T2,3.endword;2,4.head;1.T7,2.T7,3.head,4.T3;1.endword,3.T5;1.T6,4.T2;3.T6,5.T4;6.headrime,7;6.endword,7.headrime;6.T6,7.T3;13.T6,14.head;13.T5,14.T2;13.T1,14.endword;20.T3,21;20.T1,21.T3;20.T2,21.head;22.T5,29.T2;23.headrime,24.T7,26.T2;25.T6,27.T3;22.T1,23.T4,24.T6,25.T1,26.T4,27.T1,28.endword;23.T7,24.T1,26.T3,27.T6,28.T7;24.T3,27.T2;24.T4,27.T7,28.T3;22,29;23,26
the_long_way_back	1	2026-08-27	0593fa1-WORKING	plan	0	returns	1,8;2,9;3,10;4,11;5,12;1,15;2,16;3,17;4,18;5,19
the_long_way_back	2	2026-08-27	0593fa1-WORKING	song	0	mandate_groups	35
the_long_way_back	2	2026-08-27	0593fa1-WORKING	song	0	lines	29
the_long_way_back	2	2026-08-27	0593fa1-WORKING	song	0	mandated_pairs	75
the_long_way_back	2	2026-08-27	0593fa1-WORKING	song	0	mandate_source	declared
the_long_way_back	2	2026-08-27	0593fa1-WORKING	song	0	md5	687eaa34c949
the_long_way_back	2	2026-08-27	0593fa1-WORKING	song	0	briefed	29
the_long_way_back	2	2026-08-27	0593fa1-WORKING	song	0	per_line_flag	0
the_long_way_back	2	2026-08-27	0593fa1-WORKING	song	0	per_line_note	222
the_long_way_back	2	2026-08-27	0593fa1-WORKING	song	0	whole_draft	11
the_long_way_back	2	2026-08-27	0593fa1-WORKING	song	0	whole_draft_flag	0
the_long_way_back	2	2026-08-27	0593fa1-WORKING	song	0	finding:ANACRUSIS	NOTE x29
the_long_way_back	2	2026-08-27	0593fa1-WORKING	song	0	finding:COLLISION_CUT_IS_SCALAR_ONLY	NOTE x1
the_long_way_back	2	2026-08-27	0593fa1-WORKING	song	0	finding:CROWDED	NOTE x18
the_long_way_back	2	2026-08-27	0593fa1-WORKING	song	0	finding:FUNCTION_UNDECLARED	NOTE x1
the_long_way_back	2	2026-08-27	0593fa1-WORKING	song	0	finding:HOOK_CONFINED	NOTE x1
the_long_way_back	2	2026-08-27	0593fa1-WORKING	song	0	finding:NEAR_COLLISION	NOTE x1
the_long_way_back	2	2026-08-27	0593fa1-WORKING	song	0	finding:NO_SETTING	NOTE x1
the_long_way_back	2	2026-08-27	0593fa1-WORKING	song	0	finding:PHRASE_LENGTH_LOCKED	NOTE x1
the_long_way_back	2	2026-08-27	0593fa1-WORKING	song	0	finding:PROMINENCE_CANNOT_ALIGN	NOTE x29
the_long_way_back	2	2026-08-27	0593fa1-WORKING	song	0	finding:PROMINENCE_EXCEEDS_HEADS	NOTE x29
the_long_way_back	2	2026-08-27	0593fa1-WORKING	song	0	finding:REFRAIN_REPEAT	NOTE x10
the_long_way_back	2	2026-08-27	0593fa1-WORKING	song	0	finding:REPEAT_ACROSS_GROUPS	NOTE x5
the_long_way_back	2	2026-08-27	0593fa1-WORKING	song	0	finding:RETURN_LOCKED	NOTE x1
the_long_way_back	2	2026-08-27	0593fa1-WORKING	song	0	finding:RETURN_NEVER_RETURNS	NOTE x1
the_long_way_back	2	2026-08-27	0593fa1-WORKING	song	0	finding:SCHEME_COLLISION	NOTE x17
the_long_way_back	2	2026-08-27	0593fa1-WORKING	song	0	finding:SCHEME_UNREADABLE	NOTE x78
the_long_way_back	2	2026-08-27	0593fa1-WORKING	song	0	finding:SINGLE_INSTANCE	NOTE x2
the_long_way_back	2	2026-08-27	0593fa1-WORKING	song	0	finding:SPARSE	NOTE x6
the_long_way_back	2	2026-08-27	0593fa1-WORKING	song	0	finding:UNIFORM_ANACRUSIS	NOTE x1
the_long_way_back	2	2026-08-27	0593fa1-WORKING	song	0	finding:UNIFORM_LINE_LENGTH	NOTE x1
the_long_way_back	3	2026-08-27	0593fa1-WORKING	revise	0	stop_reason	SUCCESS
the_long_way_back	3	2026-08-27	0593fa1-WORKING	revise	0	rounds	0
the_long_way_back	3	2026-08-27	0593fa1-WORKING	revise	0	md5_in	687eaa34c949
the_long_way_back	3	2026-08-27	0593fa1-WORKING	revise	0	md5_out	687eaa34c949
the_long_way_back	3	2026-08-27	0593fa1-WORKING	revise	0	unchanged	yes
the_long_way_back	3	2026-08-27	0593fa1-WORKING	revise	0	mandated	75
the_long_way_back	3	2026-08-27	0593fa1-WORKING	revise	0	judged	36
the_long_way_back	3	2026-08-27	0593fa1-WORKING	revise	0	pairs_refused	39
